id,amount,status,created_at,user_id,money_back_date,transfer_type,send_at
4405,100.0,rejected,2020-06-20 16:46:28.409042+00,14799.0,,regular,
13107,100.0,approved,2020-08-19 16:20:22.768375+00,8020.0,2020-09-24 22:23:28.213168+00,regular,2020-08-26 16:20:22.631568+00
11984,50.0,approved,2020-08-11 13:23:12.220906+00,27793.0,2020-11-19 23:00:00+00,instant,2020-08-18 13:23:12.220516+00
11322,50.0,approved,2020-08-07 11:01:30.51934+00,15409.0,2020-08-29 22:12:23.812361+00,instant,2020-08-14 11:01:30.518974+00
16755,50.0,rejected,2020-09-18 13:08:34.789948+00,39701.0,,regular,2020-09-25 13:08:34.765418+00
8110,100.0,rejected,2020-07-15 09:13:26.477317+00,,,regular,
13637,50.0,approved,2020-08-22 21:49:07.20549+00,4604.0,2020-09-08 19:27:06.237009+00,instant,2020-08-29 21:49:07.158273+00
16341,50.0,rejected,2020-09-16 05:17:19.83986+00,42425.0,,instant,2020-09-23 05:17:19.798653+00
12784,100.0,approved,2020-08-17 11:35:13.8091+00,8231.0,2020-09-03 19:00:15.188417+00,regular,2020-08-24 11:35:13.744489+00
16021,50.0,approved,2020-09-14 08:55:23.576196+00,22489.0,2020-10-13 19:45:31.128308+00,instant,2020-09-21 08:55:23.551324+00
16366,100.0,rejected,2020-09-16 07:15:49.882136+00,41859.0,,instant,2020-09-23 07:15:49.829771+00
10538,100.0,rejected,2020-08-02 09:06:54.960903+00,9183.0,,instant,2020-08-09 09:06:54.960477+00
9753,60.0,approved,2020-07-27 07:54:09.982927+00,21169.0,2020-08-08 22:00:00+00,regular,2020-08-03 07:54:09.982348+00
2975,100.0,approved,2020-06-11 06:53:36.628244+00,2562.0,2020-07-12 22:00:00+00,regular,
16160,100.0,approved,2020-09-15 06:10:50.434483+00,21565.0,2020-10-07 19:51:15.358416+00,instant,2020-09-22 06:10:50.398123+00
10716,50.0,rejected,2020-08-03 16:46:15.888554+00,30482.0,,instant,2020-08-10 16:46:15.88814+00
17165,50.0,rejected,2020-09-22 02:33:47.522089+00,44134.0,,instant,2020-10-06 02:33:47.493732+00
9362,100.0,approved,2020-07-22 08:46:26.323906+00,17370.0,2020-08-06 22:00:00+00,regular,2020-07-29 08:46:26.323465+00
14573,100.0,approved,2020-09-04 18:39:46.886861+00,27873.0,2020-10-03 19:15:57.976757+00,instant,2020-09-11 18:39:46.801022+00
15763,100.0,approved,2020-09-11 20:24:56.585755+00,23590.0,2020-10-06 19:41:04.372571+00,regular,2020-09-18 20:24:56.544374+00
2399,100.0,approved,2020-05-31 18:20:14.455018+00,6079.0,2020-07-02 18:30:56.563445+00,regular,
16098,50.0,rejected,2020-09-14 17:17:07.797093+00,41191.0,,instant,2020-09-21 17:17:07.755871+00
3523,100.0,approved,2020-06-16 17:11:30.947816+00,9826.0,2020-08-06 22:00:00+00,regular,
10191,50.0,approved,2020-07-30 16:21:20.209816+00,34301.0,2020-09-02 22:00:00+00,instant,2020-08-06 16:21:20.209334+00
6918,100.0,approved,2020-07-07 15:17:30.393853+00,13280.0,2020-10-06 22:00:00+00,regular,
14734,100.0,approved,2020-09-05 18:38:12.321974+00,8199.0,2020-10-05 19:45:40.455269+00,regular,2020-09-12 18:38:12.293449+00
12753,100.0,rejected,2020-08-17 07:37:35.068464+00,23771.0,,regular,2020-08-24 07:37:35.022954+00
7247,100.0,rejected,2020-07-08 22:07:06.896658+00,10207.0,,regular,
14837,50.0,approved,2020-09-06 15:56:11.504042+00,21662.0,2020-10-07 19:51:23.535753+00,instant,2020-09-13 15:56:11.442462+00
10544,50.0,rejected,2020-08-02 09:47:59.322617+00,20598.0,,regular,2020-08-09 09:47:59.322216+00
12854,50.0,rejected,2020-08-17 22:50:30.449585+00,24315.0,,instant,2020-08-24 22:50:30.421323+00
18341,100.0,rejected,2020-09-29 08:25:51.172466+00,,,instant,2020-10-06 08:25:51.126003+00
8252,100.0,approved,2020-07-15 15:44:56.536893+00,21982.0,2020-08-05 22:00:00+00,regular,
6039,50.0,rejected,2020-06-30 22:19:34.325985+00,25652.0,,regular,
7092,100.0,approved,2020-07-08 08:57:09.262836+00,14980.0,2020-07-22 22:00:00+00,regular,
8306,100.0,rejected,2020-07-15 17:23:19.418328+00,16730.0,,regular,
12615,60.0,rejected,2020-08-15 11:43:55.131519+00,30672.0,,regular,2020-08-22 11:43:55.061543+00
14998,50.0,rejected,2020-09-07 17:39:59.55179+00,,,instant,2020-09-14 17:39:59.493759+00
18077,50.0,approved,2020-09-27 13:45:24.301998+00,52968.0,2020-11-12 04:35:06.136795+00,instant,2020-10-04 13:45:24.276774+00
793,100.0,rejected,2020-03-04 18:59:07.5982+00,2460.0,,regular,
15513,100.0,approved,2020-09-10 09:58:57.427314+00,9860.0,2020-10-08 07:52:44.325387+00,instant,2020-09-17 09:58:57.371625+00
5399,100.0,rejected,2020-06-25 20:50:26.169548+00,,,regular,
18208,60.0,approved,2020-09-28 13:40:17.284129+00,53874.0,2020-12-03 23:00:00+00,instant,2020-10-05 13:40:17.257341+00
15648,100.0,rejected,2020-09-11 06:16:16.095653+00,10562.0,,instant,2020-09-18 06:16:16+00
1927,100.0,approved,2020-05-16 14:35:56.973213+00,8531.0,2020-06-03 20:25:40.557608+00,regular,
5792,100.0,approved,2020-06-29 14:35:10.782864+00,,2020-07-29 22:00:00+00,regular,
16289,100.0,rejected,2020-09-15 17:41:20.49497+00,23177.0,,instant,2020-09-22 17:41:20.461568+00
17290,100.0,approved,2020-09-22 14:25:48.470536+00,46506.0,2020-10-16 19:25:57.95997+00,instant,2020-10-06 14:25:48.444074+00
298,100.0,approved,2019-12-23 19:35:26.077221+00,355.0,,regular,
16882,50.0,rejected,2020-09-19 14:25:11.982253+00,43582.0,,instant,2020-09-26 14:25:11.949868+00
8736,100.0,approved,2020-07-17 17:56:13.703916+00,12927.0,2020-07-29 22:00:00+00,regular,
2233,100.0,approved,2020-05-28 08:19:14.952432+00,3309.0,2020-06-10 22:50:10.838047+00,regular,
706,100.0,approved,2020-02-20 09:21:34.315493+00,2836.0,2020-03-31 20:00:45.081488+00,regular,
